CECS 100, CRIT THINK IN DIGITAL INFO AGE, 3 Units, 01, 3330, NONE, NONE, 1, SEM, MW, 2-2:50PM, Open, ECS-302, Golshani F, Class instruction is: Face to Face - On Campus.
CECS 100, CRIT THINK IN DIGITAL INFO AGE, 3 Units, 02, 3331, NONE, NONE, 1, LAB, MW, 3-4:15PM, Open, ECS-413, Golshani F, Class instruction is: Face to Face - On Campus.
CECS 105, INTRODUCTION TO CECS, 1 Unit, 01, 9998, NONE, NONE, NONE, SEM, M, 1-1:50PM, Open, ECS-414, Golshani F, Class instruction is: Face to Face - On Campus.Class offered with CECS-105H-01
CECS 105, INTRODUCTION TO CECS, 1 Unit, 02, 10000, NONE, NONE, NONE, SEM, W, 1-1:50PM, Open, ECS-414, Golshani F, Class instruction is: Face to Face - On Campus.
CECS 105H, INTRODUCTION TO CECS, 1 Unit, 01, 9999, NONE, NONE, NONE, SEM, M, 1-1:50PM, Open, ECS-414, Golshani F, Class instruction is: Face to Face - On Campus.Class offered with CECS-105-01
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 01, 3391, NONE, NONE, 1, SEM, MW, 12-12:50PM, Open, HSCI-100, Nachawati S, Class instruction is: Face to Face - On Campus.Seats are reserved for BEACH XP Cohort 4 Students
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 02, 3392, NONE, NONE, 1, LAB, MW, 1-2:15PM, Open, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 03, 4397, NONE, NONE, 1, LAB, MW, 1-2:15PM, Open, ECS-404, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 04, 4398, NONE, NONE, 1, LAB, MW, 10:30-11:45AM, Open, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 05, 4810, NONE, NONE, 1, LAB, MW, 1-2:15PM, Open, ECS-412, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 07, 5183, NONE, NONE, 1, SEM, F, 11-12:50PM, Open, ECS-105, Nguyen K, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 08, 5184, NONE, NONE, 1, LAB, F, 8-10:30AM, Open, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 09, 6914, NONE, NONE, 1, LAB, F, 1-3:45PM, Open, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 10, 6915, NONE, NONE, 1, LAB, F, 1-3:45PM, Open, ECS-416, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 11, 7127, NONE, NONE, NONE, LAB, F, 1-3:45PM, Open, ECS-403, Staff, Class instruction is: Face to Face - On Campus.
CECS 174, INTRO PROG & PROBLEM SOLVING, 3 Units, 12, 10134, NONE, NONE, NONE, LAB, F, 8-10:45AM, Open, ECS-407, Staff, Class instruction is: Face to Face - On Campus.
CECS 201, COMPUTER LOGIC DESIGN I, 3 Units, 01, 3653, NONE, NONE, 1, SEM, MW, 8-8:50AM, Open, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 201, COMPUTER LOGIC DESIGN I, 3 Units, 02, 3654, NONE, NONE, 1, LAB, MW, 9-10:15AM, Open, ECS-413, Staff, Class instruction is: Face to Face - On Campus.
CECS 201, COMPUTER LOGIC DESIGN I, 3 Units, 03, 8080, NONE, NONE, 1, LAB, MW, 10:30-11:45AM, Open, ECS-413, Staff, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 01, 3069, NONE, NONE, 1, SEM, TuTh, 9:30-10:20AM, Open, ECS-411, Hernandez E, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 02, 3070, NONE, NONE, 1, LAB, TuTh, 10:30-11:45AM, Open, ECS-411, Hernandez E, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 03, 10016, NONE, NONE, NONE, SEM, MW, 12-12:50PM, Open, ECS-411, Afzali-Kusha A, Class instruction is: Face to Face - On Campus.
CECS 211, PRIN OF COMPUTER ENGINEERING I, 3 Units, 04, 10017, NONE, NONE, NONE, LAB, MW, 1-2:15PM, Open, ECS-411, Afzali-Kusha A, Class instruction is: Face to Face - On Campus.
CECS 225, DIGITAL LOGIC AND ASSEMBLY PRO, 3 Units, 01, 5193, NONE, NONE, 1, SEM, TuTh, 8-9:15AM, Open, HC-120, Nachawati S, Class instruction is: Face to Face - On Campus.
CECS 225, DIGITAL LOGIC AND ASSEMBLY PRO, 3 Units, 02, 5194, NONE, NONE, 1, SEM, MW, 12:30-1:45PM, Open, KIN-059, Ghaforyfard P, Class instruction is: Face to Face - On Campus.
CECS 225, DIGITAL LOGIC AND ASSEMBLY PRO, 3 Units, 04, 11795, NONE, NONE, NONE, SEM, MW, 6-7:15PM, Open, ECS-416, Cregg D, Class instruction is: Face to Face - On Campus.
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 01, 1141, NONE, NONE, 1, SEM, Sa, 1-3:45PM, Open, ECS-105, Mehrnia A, Class instruction is: Face to Face - On Campus.
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 02, 1142, NONE, NONE, 1, SEM, MW, 8-9:15AM, Open, KIN-059, Maples T, Class instruction is: Face to Face - On Campus.Class offered with CECS-228H-01
CECS 228, DISCRETE STRUC-COMPUTING APPL, 3 Units, 03, 9967, NONE, NONE, NONE, SEM, TuTh, 12:30-1:45PM, Open, ECS-414, Hu D, Class instruction is: Face to Face - On Campus.
CECS 228H, DISCRETE STRUC-COMPUTING APPL, 3 Units, 01, 7743, NONE, NONE, NONE, SEM, MW, 8-9:15AM, Open, KIN-059, Maples T, Class instruction is: Face to Face - On Campus.Class offered with CECS-228-02
CECS 229, DISCRETE STRUCT COMP APPLIC II, 3 Units, 01, 5191, NONE, NONE, 1, SEM, F, 12-2:30PM, Open, ECS-308, Nguyen K, Class instruction is: Face to Face - On Campus.
CECS 229, DISCRETE STRUCT COMP APPLIC II, 3 Units, 02, 5192, NONE, NONE, 1, SEM, TuTh, 2-3:15PM, Open, COB-140A, Varela K, Class instruction is: Face to Face - On Campus.
CECS 262, INTRO TO EMBEDDED SYST PROG, 3 Units, 01, 3834, NONE, NONE, 1, SEM, F, 8-9:40AM, Open, ECS-411, Hernandez E, Class instruction is: Face to Face - On Campus.
CECS 262, INTRO TO EMBEDDED SYST PROG, 3 Units, 02, 3835, NONE, NONE, 1, LAB, F, 10-12:30PM, Open, ECS-411, Hernandez E, Class instruction is: Face to Face - On Campus.
CECS 271, INTRO TO NUMERICAL METHODS, 3 Units, 01, 3019, NONE, NONE, 1, SEM, TuTh, 8-9:15PM, NONE, VEC-331, Nguyen M, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 01, 3393, NONE, NONE, 1, SEM, F, 8-9:40AM, Open, ECS-105, Varela K, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 02, 3394, NONE, NONE, 1, LAB, F, 10-12:30PM, Open, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 03, 3630, NONE, NONE, 1, LAB, F, 1-3:30PM, Open, VEC-518, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 04, 3631, NONE, NONE, 1, LAB, F, 1-3:30PM, Open, ECS-414, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 05, 4359, NONE, NONE, 1, SEM, TuTh, 12:30-1:20PM, Open, VEC-518, Nguyen K, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 06, 4360, NONE, NONE, 1, LAB, Tu, 9:30-12:15PM, Open, VEC-331, Staff, Class instruction is: Face to Face - On Campus.
CECS 274, DATA STRUCTURES, 3 Units, 07, 5232, NONE, NONE, 1, LAB, Th, 9:30-12:15PM, Open, VEC-331, Staff, Class instruction is: Face to Face - On Campus.
CECS 275, PROGRAMMING AND DATA STRUCTURE, 3 Units, 01, 7129, NONE, NONE, NONE, SEM, MW, 5:30-6:20PM, Open, ECS-308, Nguyen M, Class instruction is: Face to Face - On Campus.
CECS 275, PROGRAMMING AND DATA STRUCTURE, 3 Units, 02, 7130, NONE, NONE, NONE, LAB, MW, 6:30-7:45PM, Open, ECS-403, Nguyen M, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 01, 2464, NONE, NONE, 1, SEM, TuTh, 9-9:50AM, Open, ECS-105, Cleary S, Class instruction is: Face to Face - On Campus.
CECS 277, OBJ ORIENTED APPL DEVELOPMENT, 3 Units, 02, 2465, NONE, NONE, 1, LAB, TuTh, 10-11:15AM, Open, ECS-405, Staff, Class instruction is: Face to Face - On Campus.
