ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 01, 10833, NONE, NONE, NONE, SEM, MW, 8-9:15AM, OPEN, COB-140, Johnson D, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 02, 7275, NONE, NONE, NONE, SEM, F, 9-11:45AM, OPEN, COB-139A, Mari R, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 05, 8114, NONE, NONE, NONE, SEM, MW, 11-12:15PM, OPEN, COB-139, Sinha D, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 08, 3919, NONE, NONE, NONE, SEM, NA, NA, OPEN, ONLINE-ONLY, Huang X, Class instruction is: Asynch. Online-No Meet Times.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 09, 8598, NONE, NONE, NONE, SEM, TuTh, 11-12:15PM, OPEN, HHS1-104, Zhang I, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 10, 8603, NONE, NONE, NONE, SEM, TuTh, 8-9:15AM, OPEN, COB-122, Zhang I, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 11, 8605, NONE, NONE, NONE, SEM, TuTh, 12:30-1:45PM, OPEN, COB-124, Zhang I, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 13, 10269, NONE, NONE, NONE, SEM, MW, 8-9:15AM, OPEN, COB-235, Sinha D, Class instruction is: Face to Face - On Campus.
ACCT 201, ELEM FINANCIAL ACCOUNTING, 3 Units, 14, 10270, NONE, NONE, NONE, SEM, MW, 2-3:15PM, OPEN, COB-217, Sinha D, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 01, 8115, NONE, NONE, NONE, SEM, MW, 11-12:15PM, OPEN, FCS-126, Hao P, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 02, 3305, NONE, NONE, 311, SEM, TuTh, 11-12:15PM, OPEN, COB-122, Kabutey M, Class instruction is: Hybrid (Face to Face & Online).
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 02, NONE, NONE, NONE, NONE, NONE, TuTh, 11-12:15PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 03, 3306, NONE, NONE, NONE, SEM, TuTh, 9:30-10:45AM, OPEN, COB-218, Kabutey M, Class instruction is: Face to Face - On Campus.
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 04, 6891, NONE, NONE, 311, SEM, TuTh, 2-3:15PM, OPEN, COB-235, Kabutey M, Class instruction is: Hybrid (Face to Face & Online).
ACCT 202, MANAGERIAL ACCOUNTING, 3 Units, 04, NONE, NONE, NONE, NONE, NONE, TuTh, 2-3:15PM, NONE, ONLINE-ONLY, Staff, additional meeting detail
